COUNTRY,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,LAST LOCATION DATE,MODEL,NAME,NETWORKS,OBSERVING NETWORKS,PROGRAM,REF,SERIAL NUMBER,STATUS,TYPE
United States,2021-03-01T15:24:00,61.7285,-18.511,2021-05-12T06:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6401862_100,,CLOSED,DWS
United States,2021-03-01T19:36:00,61.7306,-18.2055,2021-09-09T06:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6401861_100,,CLOSED,DWS
United States,2021-03-01T12:57:00,61.5802,-18.7936,2021-09-08T00:00:00,DWS-B,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6401859_100,,CLOSED,DWS
United States,2021-02-25T16:29:00,63.574,2.963,2021-08-05T12:28:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402671,,CLOSED,DWS
United States,2021-02-22T01:35:00,65.556,2.422,2021-06-25T00:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402670_100,,CLOSED,DWS
United States,2021-02-19T20:21:00,67.9744,-18.8264,2021-03-11T11:43:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402669_100,,CLOSED,DWS
United States,2021-02-25T16:34:00,63.6681,-13.6628,2021-05-12T06:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402676_100,,CLOSED,DWS
United States,2021-02-22T02:25:00,66.4,-8.9525,2021-09-08T00:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402675_100,,CLOSED,DWS
United States,2021-02-16T16:29:00,64.4173,-27.8926,2021-05-12T06:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6401854_100,,CLOSED,DWS
United States,2021-02-19T20:57:00,67.9667,-18.8355,2021-05-14T06:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402674_100,,CLOSED,DWS
United States,2021-02-18T11:51:00,67.5725,-23.9627,2021-06-25T03:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402673_100,,CLOSED,DWS
United States,2021-02-16T05:29:00,59.986,-38.868,2021-06-25T18:00:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6401853_100,,CLOSED,DWS
United States,2021-02-18T11:17:00,67.5741,-23.9535,2021-03-27T20:47:00,DWS,,"AtlantOS, DBCP, Global Drifter Array",DBCP,SIO-DB,6402672_100,,CLOSED,DWS
United States,2019-09-30T08:50:00,74.405,22.2902,2019-12-03T01:00:00,DWS,,"DBCP, Global Drifter Array",DBCP,SIO-DB,6102571_100,,CLOSED,DWS
United States,2017-06-28T21:00:00,8.5658,-161.6896,2017-07-26T00:00:00,DWS,,"DBCP, Global Drifter Array, Tropical Pacific Observing System",DBCP,SIO-DB,3201625_100,,CLOSED,DWS
